,age,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
1691,28.041095890410958,12.0,12.0,850.0,1.0,0.0,9.4,3.0,7.0,0.0,333.0,428.0,5640.0,1613.0,206.0,130.0,60.0,410.0,14.0,6.0,3.0,8.0,14.0,2.0,15.0,9.0,8.0,11.0,13.0,7.0,3.0,0.0,509.0,509.0,18.0,12.0,24.0,378.0,7.0,19.0,61.0,1.0,5.0,7,0,0,0,1,0,1
1692,31.22739726027397,8.0,2.0,309.0,3.0,0.0,3.4,0.0,3.0,0.0,140.0,164.0,2173.0,461.0,76.0,64.0,14.0,159.0,4.0,3.0,0.0,1.0,4.0,0.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,0.0,187.0,187.0,0.0,4.0,3.0,138.0,4.0,5.0,8.0,9.0,2.0,15,0,0,0,0,0,1
1693,30.5972602739726,12.0,10.0,799.0,5.0,0.0,8.9,0.0,4.0,0.0,346.0,417.0,5315.0,1337.0,211.0,124.0,50.0,371.0,42.0,25.0,3.0,5.0,18.0,11.0,15.0,9.0,8.0,6.0,3.0,10.0,3.0,0.0,510.0,510.0,29.0,21.0,22.0,386.0,11.0,34.0,48.0,5.0,14.0,15,0,0,0,1,0,1
1694,34.775342465753425,12.0,6.0,650.0,4.0,0.0,7.2,0.0,15.0,0.0,326.0,374.0,5701.0,1772.0,177.0,136.0,46.0,355.0,18.0,2.0,2.0,8.0,24.0,9.0,5.0,4.0,1.0,2.0,4.0,4.0,5.0,0.0,425.0,425.0,11.0,11.0,11.0,353.0,4.0,13.0,25.0,2.0,3.0,10,0,0,0,1,0,1
1695,29.016438356164382,4.0,0.0,88.0,1.0,0.0,1.0,0.0,4.0,1.0,41.0,54.0,735.0,260.0,24.0,20.0,8.0,45.0,9.0,1.0,0.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,67.0,67.0,3.0,2.0,3.0,50.0,1.0,4.0,2.0,0.0,0.0,10,2,0,0,1,0,1
1696,27.802739726027397,2.0,1.0,47.0,0.0,0.0,0.5,0.0,0.0,0.0,15.0,24.0,229.0,35.0,12.0,5.0,3.0,22.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,30.0,8.0,1.0,1.0,22.0,1.0,2.0,5.0,0.0,0.0,13,1,0,0,1,0,0
1697,25.136986301369863,4.0,2.0,197.0,0.0,0.0,2.2,0.0,2.0,0.0,19.0,28.0,257.0,27.0,18.0,5.0,3.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,47.0,47.0,3.0,3.0,2.0,31.0,2.0,4.0,3.0,3.0,4.0,14,1,0,0,1,0,0
1698,25.438356164383563,9.0,7.0,559.0,1.0,0.0,6.2,2.0,24.0,0.0,60.0,90.0,764.0,97.0,45.0,30.0,4.0,75.0,14.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,0.0,153.0,153.0,7.0,11.0,4.0,102.0,8.0,8.0,18.0,11.0,14.0,0,0,0,0,1,0,0
1699,25.484931506849314,10.0,2.0,362.0,1.0,0.0,4.0,0.0,16.0,0.0,32.0,57.0,478.0,45.0,30.0,21.0,4.0,48.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,100.0,100.0,3.0,11.0,1.0,66.0,1.0,2.0,5.0,15.0,24.0,5,0,0,0,1,0,1
1700,25.457534246575342,14.0,14.0,1260.0,1.0,0.0,14.0,0.0,0.0,0.0,334.0,438.0,8701.0,6207.0,54.0,195.0,185.0,324.0,111.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,466.0,466.0,0.0,0.0,0.0,208.0,0.0,0.0,19.0,0.0,0.0,3,0,0,0,0,1,0
